,geometry,cartodb_id,objectid,permitnumber,addressobjectid,parcel_id_num,permittype,permitdescription,commercialorresidential,typeofwork,approvedscopeofwork,permitissuedate,status,applicanttype,contractorname,contractoraddress1,contractoraddress2,contractorcity,contractorstate,contractorzip,mostrecentinsp,opa_account_num,address,unit_type,unit_num,zip,censustract,council_district,opa_owner,systemofrecord,geocode_x,geocode_y,posse_jobid
192,POINT (-75.153583 39.926978),386436,384077,936198,602307,274996,BP_NEWCNST,NEW CONSTRUCTION PERMIT,,ENTIRE,FOR THE ERECTION OF A THREE STORY TOWNHOUSE WITH ROOF DECK AND PILOTHOUSE AS PER APPROVED PLANS. BUILDING TO BE FULLY SPRINKLERED IN ACCORDANCE WITH NFPA 13D AT MINIMUM. SEPARATE PERMITS REQUIRED FOR M.E.P. AND FIRE SUPPRESSION WORK. SEE A/P NO. 931279 FOR APPROVED PLANS. CONSTRUCTION SHALL INCLUDE UNDERPINNING.,2019-04-08T11:40:48Z,COMPLETED,RESPONSIBLE COMPANY CONTACT,PB&DC POINT BUILDERS DESIGN,MICHAEL HALLETT,1526 PARRISH STREET  UNIT 3,PHILADELPHIA,PA,19130-    ,2020-03-06T08:53:00Z,011370300,425 WATKINS ST,,,19148-1804,27.01,1,BRAWDEN MANAGEMENT LLC,HANSEN,2696590.11330083,226960.91909234,
193,POINT (-75.160887 39.974371),387325,384144,948008,657974,511839,BP_NEWCNST,NEW CONSTRUCTION PERMIT,,ENTIRE,"NEW CONSTRUCTION OF 4 STORY DUPLEX TOWNHOUSE W/ROOF DECK, BASEMENT EGRESS WELL & PROJECTING BAY ON EXISTING FOUNDATION PER FOUNDATION PERMIT #929697 SEE AP#939931 FOR PLANS",2019-02-13T14:49:15Z,COMPLETED,DESIGN PROFESSIONAL,TESTER CONSTRUCTION GROUP LLC,1541 RIDGE AVE,,PHILADELPHIA,PA,19130-    ,2020-03-04T15:31:00Z,881410002,1330 N 15TH ST,,,19121-4328,140,5,15TH STREET LIGHTHOUSE LP,HANSEN,2694036.41612314,244157.76435641,
194,POINT (-75.155869 39.964028),383272,389674,934338,651728,168026,BP_NEWCNST,NEW CONSTRUCTION PERMIT,,ENTIRE,FOR THE ERECTION OF A TWO STORY TOWNHOUSE AS PER APPROVED PLANS. BUILDING TO BE FULLY SPRINKLERED IN ACCORDANCE WITH NFPA 13D AT MINIMUM. FOR ISSUANCE OF CERTIFICATE OF OCCUPANCY. SEPARATE PERMITS REQUIRED FOR M.E.P. AND FIRE SUPPRESSION WORK.,2019-02-20T12:42:39Z,COMPLETED,DESIGN PROFESSIONAL,TESTER CONSTRUCTION GROUP LLC,1541 RIDGE AVE,,PHILADELPHIA,PA,19130-    ,2019-10-16T13:50:00Z,141136310,632 N 11TH ST,,,19123-2500,132,5,WP HOMES LLC,HANSEN,2695552.84628554,240432.84203025,
195,POINT (-75.179608 39.941488),399658,400740,923500,84891,183717,BP_NEWCNST,NEW CONSTRUCTION PERMIT,,ENTIRE,"FOR THE ERECTION OF AN ATTACHED STRUCTURE FOUR STORY ABOVE GRADE. FOR TYPE VA CONSTRUCTION AND WILL INCLUDE A CELLAR, REAR DECK AND A ROOF DECK WITH ROOF ACCESS STRUCTURE AS PER PLANS. SEPARATE PERMITS REQUIRED FOR ALL MECHANICAL, ELECTRICAL, PLUMBING AND FIRE SUPPRESSION WORK.",2019-02-28T12:20:35Z,COMPLETED,CONTRACTOR,CENTURY HOME BUILDERS LLC,1017 JAMESTOWN ROAD,,BROOMALL,PA,19008-    ,2019-11-01T13:24:00Z,302183500,2202 CHRISTIAN ST,,,19146-2520,13,2,CENTURY HOME BUILDERS LLC,HANSEN,2689140.26776394,232030.6910716,
196,POINT (-75.202438 39.96544),393749,395210,918794,686220,518836,BP_NEWCNST,NEW CONSTRUCTION PERMIT,,ENTIRE,FOR THE ERECTION OF AN ATTACHED STRUCTURE WITH LIMITED PRIVATE ROOF DECKS AS PER AP#953597 ACCESSORY TO THE TOP UNIT ONLY.  FOR USE AS SEVEN (7) DWELLING UNITS.BUILDING TO BE FULLY SPRINKLERED. SEPARATE PERMITS REQUIRED FOR M.E.P.F WORK.,2019-03-21T09:15:55Z,COMPLETED,APPL,MCALINDEN & REGAN,2144 MT CARMEL AVE,,GLENSIDE,PA,19038-    ,2020-02-14T08:40:00Z,243113000,707 N 40TH ST,,,19104-1635,108,3,IRISHLAND LLC,HANSEN,2682489.93379661,240566.98698153,
197,POINT (-75.131467 39.98352),399676,401000,968694,135812,309959,BP_NEWCNST,NEW CONSTRUCTION PERMIT,,ENTIRE,FOR THE CONSTRUCTION OF A THREE (3) STORY ATTACHED STRUCTURE WITH CELLAR AND ROOF DECK WITH PILOT HOUSE (FOR ACCESS TO ROOF DECK ONLY). FOR USE AS SINGLE FAMILY HOUSEHOLD LIVING. AS PER PLANS.,2019-04-26T12:51:29Z,COMPLETED,DESIGN PROFESSIONAL,OWL CONSTRUCTION SERVICES LLC,4208 DISSTON ST,,PHILADELPHIA,PA,19135-    ,2020-01-15T08:03:00Z,311078300,2239 EMERALD ST,,,19125-1538,161,7,IRA DEVELOPMENT LLC,HANSEN,2702179.36650273,247732.11010895,
198,POINT (-75.209073 39.944334),401157,400834,941100,622817,462004,BP_NEWCNST,NEW CONSTRUCTION PERMIT,,FITOUT,FOR FIT-OUT OF EXISTING TENANT SPACE A IN SHELL CONDITION TO CREATE A PHYSICAL THERAPY OFFICE.BUILDING IS FULLY SPRINKLERED. SEPARATE PERMITS REQUIRED FOR M.E.P.S WORK.,2019-03-21T12:11:20Z,COMPLETED,CONTRACTOR,MICHAEL A CARNEY,212 BELLEVUE AVE,APT #2,PENNDEL,PA,19047-    ,2019-08-01T15:07:00Z,881619850,4514-22 WOODLAND AVE,,,19143-0000,77,3,UNIVERSITY OF THE SCIENCE,HANSEN,2680852.03046755,232828.22692313,
199,POINT (-75.14514200000001 39.98522),412166,417862,933180,642470,11043,BP_NEWCNST,NEW CONSTRUCTION PERMIT,,ENTIRE,"FOR THE ERECTION OF A THREE STORY STRUCTURE FOR USE AS A THREE FAMILY DWELLING. BUILDING IS SPRINKLERED IN ACCORDANCE WITH NFPA 13R. ALL WORK TO BE DONE PER APPROVED  PLANS.****STRUCTURE APPROVED PER BBS VARIANCE CASE NO. 36211 WITH THE FOLLLOWING PROVISOS: ONE HOUR RATED REAR EXTERIOR WALL AND SPRINKLER HEADS TO BE PROVIDED AT THE CENTERLINE OF EACH WINDOW ALONG THE REAR WALL.**** IF FIELD CONDITIONS VARY CONTACT DESIGN ENGINEER PRIOR TO THE START OF ANY WORK. SEPARATE PERMITS REQUIRED FOR MECHANICAL, ELECTRICAL, PLUMBING AND FIRE SUPPRESSION WORK.A COVERED WALKWAY OR SIDEWALK CLOSURE SHALL BE REQUIRED WITHIN 10 FEET OF THE BUILDING FACADE IN ACCORDANCE WITH SECTION 3306 OF THE 2009 IBC. SEPARATE BUILDING AND/OR STREETS DEPARTMENT PERMIT  REQUIRED PRIOR TO THE START OF ANY WORK.",2019-02-26T11:04:36Z,COMPLETED,APPL,RUBIN KAZAZI,2206 DISSTON ST,,PHILA,PA,19149-    ,2019-09-09T10:11:00Z,371057600,2211 N 7TH ST,,,19133-2102,165,5,MNE PROPERTIES LLC,HANSEN,2698330.70811494,248237.832287,
200,POINT (-75.17352099999999 39.895079),405569,407557,1002422,757000,540705,BP_NEWCNST,NEW CONSTRUCTION PERMIT,,SITE,SITE WORK AS PER APPROVED PLANS. SEPARATE PERMIT REQUIRED FOR ANY ELECTRICAL AND PLUMBING WORK.,2019-09-06T10:50:48Z,COMPLETED,CONTRACTOR,TORCON INC,328 NEWMAN SPRINGS RD,,RED BANK,NJ,07701-    ,2019-10-15T14:19:00Z,883812800,3 CRESCENT DR,,,19112-1016,50,2,L/S THREE CRESCENT DRIVE,HANSEN,2691339.51699013,215181.78839722,
201,POINT (-75.052736 40.039961),401880,401906,1010545,491147,67834,BP_NEWCNST,NEW CONSTRUCTION PERMIT,,ENTIRE,"FOR THE ERECTION OF A TWO-STORY ADDITION TO SERVE AS AN EXTENSION TO AN EXISTING EDUCATIONAL FACILITY. SIZE AND LOCATION AS SHOWN IN APPLICATION PLAN. THIS WILL BE A MODULAR BLDG. ASSOCIATED FOUNDATION INCLUDED UNDER AP#989798. PROPOSED ADDITION IS STRUCTURAL INDEPENDENT FROM EXISTING STRUCTURE - CONSIDERED SEPARATE BUILDINGS. 
*AMENDED BUILDING PERMIT REQUIRED FOR SPECIAL INSPECTION OF MODULAR BUILDINGS*
*LAMPU INTERNATIONAL TRADING LLC - SPECIAL INSPECTION AGENCY FOR WELDING*",2019-11-14T11:30:30Z,COMPLETED,CONTRACTOR,MOBILEASE MODULAR SPACE INC,201 ROUTE 130,,PEDRICKTOWN,NJ,08067-    ,2020-03-03T15:27:00Z,786438600,2901 PRINCETON AVE,,,19149-1400,315.02,6,SCHOOL DISTRICT OF PHILA,HANSEN,2723604.24480356,268946.91260379,
202,POINT (-75.142758 40.051142),401278,400841,942403,51158,248256,BP_NEWCNST,NEW CONSTRUCTION PERMIT,,TANK,"REMOVAL AND REPLACEMENT (SAME LOCATION) OF ONE 6,000 GALLON UNDERGROUND, FUEL GAS TANK TO INCLUDE REPLACEMENT OF RELATED FUEL ISLAND EQUIPMENT AS PER APPROVED PLANS. WORK TO CONFORM TO NFPA 30, PA DEP REGULATIONS AND THE PHILADELPHIA FIRE CODE.",2019-01-28T08:40:49Z,COMPLETED,CONTRACTOR,FERGUSON & MCCANN INC,270 BODLEY RD,,ASTON,PA,19014-    ,2019-04-23T08:54:00Z,882162300,6420 N BROAD ST,,,19126-3613,268,8,GOLDSTEINS ROSENBERGS-RAP,HANSEN,2698289.6011803,272261.38337739,
203,POINT (-75.121208 39.986448),412715,417895,940261,387197,1472512,BP_NEWCNST,NEW CONSTRUCTION PERMIT,,ENTIRE,"FOR THE ERECTION OF A FOUR (4) STORY, A SEMIDETACHED STRUCTURE (TYPE D) WITH TWO (2) ROOF DECKS AND TWO (2) PILOT HOUSES.  STRUCTURE FOR USE AS TWO FAMILY DWELLING AND VACANT COMMERCIAL SPACE (SEPARATE PERMIT REQUIRED FOR CERTIFICATE OF OCCUPANCY).  STRUCTURE TO BE FULLY SPRINKLERED PER NFPA 13. SEPARATE PERMITS REQUIRED FOR PLUMBING, MECHANICAL, ELECTRICAL, FIRE SUPPRESSION AND SIGNAGE.  A COVERED WALKWAY OR SIDEWALK CLOSURE SHALL BE REQUIRED WITHIN 12 FEET OF BUILDING FACADE IN ACCORDANCE WITH SECTION 3306 OF THE IBC. SEPARATE BUILDING AND/OR STREETS DEPARTMENT PERMITS ARE REQUIRED.  SEE A/P NO 898232 FOR APPROVED PLANS.",2019-01-30T09:26:41Z,COMPLETED,CONTRACTOR,URBAN RENEWAL BUILDERS LLC,3010 RICHMOND STREET,,PHILADELPHIA,PA,19134-    ,2019-12-02T06:48:00Z,885816300,2035 E LEHIGH AVE,,,19125-1012,179,1,"L&M FISHTOWN RESIDENCES,L",HANSEN,2705021.26092371,248883.69332067,
204,POINT (-75.195153 39.956699),412393,418000,959457,767053,1437742,BP_NEWCNST,NEW CONSTRUCTION PERMIT,,FITOUT,"FOR NEW CONSTRUCTION FIT-OUT OF A GROUP B OFFICES/LABORATORIES TENANT AT THE 13TH/14TH FLOORS OF AN UNDER-CONSTRUCTION HIGH-RISE OFFICES BUILDING, INCLUDING STRUCTURAL WORK FOR A STAIR CONNECTING BOTH FLOORS WITHIN THE TENANT SPACE, AND FOR HAZARDOUS MATERIAL CONTROL AREAS (QUANTITY & LOCATIONS OF MATERIALS IN ACCORDANCE WITH NFPA 45 AS PER BBS VARIANCE #37102), AS PER PLANS; SEPARATE PERMITS REQUIRED FOR ALL MEP/FSP WORK; BUILDING IS FULLY SPRINKLERED THROUGHOUT IN ACCORDANCE WITH NFPA 13; SEE AP#674790 FOR ZONING/USE APPROVAL; SEE AP#742034 FOR SHELL PERMIT; NO SIGNS ON THIS PERMIT.",2019-05-07T10:05:15Z,COMPLETED,AGENT CONTACT,INTECH CONSTRUCTION LLC,3020 MARKET ST,,PHILADELPHIA,PA,19104-    ,2019-11-15T10:41:00Z,883076710,3655-75 MARKET ST,,,19104-2608,91,3,WEXFORD-SCEC 3675 MARKET,HANSEN,2684623.14045272,237443.16182063,
205,POINT (-75.22983000000001 40.027768),418552,412216,947089,390689,,BP_NEWCNST,NEW CONSTRUCTION PERMIT,,ENTIRE,"FOR NEW CONSTRUCTION OF A FOUR (4) STORY STRUCTURE ABOVE GRADE PLANE WITH ROOF DECK ACCESSED BY ROOFTOP STRUCTURE; SINGLE-FAMILY DWELLING WITHIN A SPECIAL FLOOD HAZARD AREA WITH GARAGE; LOWEST FLOOR ELEVATION ENTIRELY ABOVE THE REGULATORY FLOOD ELEVATION AS PER APPROVED PLANS; BUILDING TO BE FULLY SPRINKLERED WITH NFPA 13; ** HISTORICAL COMMISSION JURISDICTION REMOVED SOLEY FOR THIS PROJECT, PER COUNCIL ORDINANCE BILL # 170997, ** FINISHED FLOOR ELEVATION CERTIFICATE TO BE PROVIDED TO DEPARTMENT & APPROVED PRIOR TO ISSUANCE OF CERTIFICATE OF OCCUPANCY (CO) ** SEE A/P #945287 FOR PLANS **",2019-02-11T10:23:48Z,COMPLETED,DESIGN PROFESSIONAL,VENICE ISLAND DEVELOPER LLC,2337 PHILMONT AVE,2ND FLOOR,HUNTINGDON VALLEY,PA,19006-6200,2019-12-13T13:45:00Z,,1 LEVERINGTON AVE,,,19127-2201,214,4,LOCKS HOMEOWNERS ASSOCIAT,HANSEN,2674167.19369792,263042.69640828,
206,POINT (-75.18688899999999 39.945301),417652,412276,957664,543722,595331,BP_NEWCNST,NEW CONSTRUCTION PERMIT,,FITOUT,"LEVEL II INTERIOR ALTERATIONS (NO CHANGE OF OCCUPANCY) FOR AN OFFICE FIT OUT ON THE 19TH AND 20TH FLOOR OF AN EXISTING HIGH-RISE BUILDING AS PER APPROVED PLANS. EXISTING BUILDING FULLY SPRINKLERED. 
**SEPARATE PERMITS REQUIRED FOR ANY MEP OR FIRE SUPPRESSION WORK**",2019-04-03T13:31:53Z,COMPLETED,CONTRACTOR,L F DRISCOLL COMPANY LLC,401 CITY AVE,SUITE 500,BALA CYNWYD,PA,19004-    ,2020-01-23T16:50:00Z,772607100,2716 SOUTH ST,,,19146-0000,13,2,CHILDREN'S HOSP OF PHILA,HANSEN,2687059.38272308,233360.04908668,
207,POINT (-75.133903 39.974381),417763,412168,937707,466208,81603,BP_NEWCNST,NEW CONSTRUCTION PERMIT,,ENTIRE,"NEW CONSTRUCTION OF SINGLE FAMILY HOME W/ GARAGE AND TWO ROOF DECKS, PROPERTY PREVIOUSLY APPROVED FOR ZONING VARIANCE. SEPARATE ZONING AND BUILDING PERMITS REQUIRED FOR ANY FENCE ON THE CORNER PROPERTY THAT DOES NOT COMPLY WITH THE ZONING CODE.",2019-02-07T11:01:12Z,COMPLETED,DESIGN PROFESSIONAL,BORCO CONSTRUCTION LLC,3705 FALLS CIRCLE,,PHILA,PA,19129-    ,2019-08-29T07:21:00Z,183000700,15 E OXFORD ST,,,19125-4419,157,7,LUTHRA PRATEEK           MAJID AMBER,HANSEN,2701595.68886896,244384.17224236,
208,POINT (-75.167519 39.938608),423249,423556,904266,51430,13108,BP_NEWCNST,NEW CONSTRUCTION PERMIT,,FITOUT,"FOR NEW CONSTRUCTION FIT-OUT OF A NEW GROUP A-2 TAKE-OUT RESTAURANT TENANT (""CHIPOTLE""; SEE AP#920812 FOR USE REGISTRATION PERMIT AND KEY PLAN), WITHIN ""RETAIL 7"" SHELL SPACE AT THE GROUND FLOOR OF AN UNDER-CONSTRUCTION MIXED-USE HIGH-RISE STRUCTURE (SEE AP#734518 FOR NEW CONSTRUCTION PERMIT OF ENTIRE BUILDING; SEE AMENDED PERMIT AP#861658 FOR DEMISING WALLS OF SHELL SPACE), AS PER PLANS; SEPARATE PERMITS REQUIRED FOR ALL MEP/FSP WORK; ENTIRE BUILDING TO BE SPRINKLERED THROUGHOUT IN ACCORDANCE WITH NFPA 13; NO SIGNS ON THIS PERMIT; NO WORK OUTSIDE TENANT SPACE LIMITS; NO WORK TO EXTERIOR FACADE.",2019-02-28T12:43:57Z,COMPLETED,AGENT CONTACT,"J.A. SALERNO, SR & SONS INC",14 RIDGEDALE AVE,SUITE 107,CEDAR KNOLLS,NJ,07924-1303,2019-08-08T07:57:00Z,881111438,1000 S BROAD ST,,,19146-0000,19,2,LINCOLN SQUARE 1766 ASSOC,HANSEN,2692559.4258286,231081.08732068,
209,POINT (-75.121208 39.986448),419022,412000,906935,387197,1472512,BP_NEWCNST,NEW CONSTRUCTION PERMIT,,ENTIRE,"FOR THE ERECTION OF A THREE (3) STORY, ATTACHED STRUCTURE (SFD - TYPE A) WITH A ROOF DECK AND PILOT HOUSE AND ONE (1) INTERIOR PARKING SPACE.  STRUCTURE FOR USE AS SINGLE FAMILY DWELLING.  STRUCTURE TO BE FULLY SPRINKLERED PER NFPA 13D MINIMUM. SEPARATE PERMITS REQUIRED FOR PLUMBING, MECHANICAL, ELECTRICAL AND FIRE SUPPRESSION.  A COVERED WALKWAY OR SIDEWALK CLOSURE SHALL BE REQUIRED WITHIN 9 FEET OF BUILDING FACADE IN ACCORDANCE WITH SECTION 3306 OF THE IBC. SEPARATE BUILDING AND/OR STREETS DEPARTMENT PERMITS ARE REQUIRED.  SEE A/P NO 898232 FOR APPROVED PLANS.",2019-01-30T08:56:21Z,COMPLETED,,URBAN RENEWAL BUILDERS LLC,3010 RICHMOND STREET,,PHILADELPHIA,PA,19134-    ,2019-08-19T10:40:00Z,885816300,2035 E LEHIGH AVE,,,19125-1012,179,1,"L&M FISHTOWN RESIDENCES,L",HANSEN,2705021.26092371,248883.69332067,
210,POINT (-74.96666500000001 40.113279),422433,423627,919506,768840,,BP_NEWCNST,NEW CONSTRUCTION PERMIT,,SHELL,FOR THE ERECTION OF A ONE (1) STORY DETACHED WAREHOUSE STRUCTURE. THIS IS A CORE AND SHELL ONLY PERMIT. SEPARATE PERMIT REQUIRED FOR FINAL FIT OUT AND CERTIFICATE OF OCCUPANCY. SEPARATE PERMIT REQUIRED FOR MEP AND FIRE SUPPRESSION WORK.,2019-01-04T14:05:06Z,COMPLETED,CONTRACTOR,FCL BUILDERS MARYLAND LLC,1131 BENFIELD BLVD,STE H,MILLERSVILLE,MD,21108-    ,2019-07-29T10:04:00Z,884293100,3025 MEETINGHOUSE RD,,,19154-0000,363.03,10,MP PHILADELPHIA LOGISTICS CENTER LLC,HANSEN,2746850.35121414,296390.12519077,
211,POINT (-75.23294199999999 39.955673),449013,446781,949710,548631,74460,BP_NEWCNST,NEW CONSTRUCTION PERMIT,,ENTIRE,FOR THE ERECTION OF A (3) THREE-STORY MIXED USE ATTACHED STRUCTURE AS PER PLANS. FOR USE AS (2) TWO DWELLING UNITS AND (1) ONE VACANT COMMERCIAL SPACE (CO/USE PERMIT REQUIRED PRIOR TO OCCUPANCY). STRUCTURE TO BE FULLY SPRINKLERED IN ACCORDANCE WITH NFPA 13 AND NFPA 13R. **SEPARATE PERMITS REQUIRED FOR MEP AND FIRE SUPPRESSION WORK.,2019-03-22T14:32:40Z,COMPLETED,DESIGN PROFESSIONAL,AIMES LLC,834 N 4TH ST,SUITE 1,PHILADELPHIA,PA,19123-    ,2020-01-29T13:58:00Z,604063200,5535 SPRUCE ST,,,19139-3934,84,3,CITY BLOCK ACQUISITION IX,HANSEN,2674044.41855293,236765.52783084,
212,POINT (-75.14808600000001 39.981895),442629,440772,933563,452293,275111,BP_NEWCNST,NEW CONSTRUCTION PERMIT,,ENTIRE,"NEW CONSTRUCTION OF FOUR (4) STORY ABOVE GRADE PLANE, W. BASEMENT, MULTI-FAMILY DWELLING OF LIGHT-FRAME WOOD, ENGINEERED WOOD SHEAR WALL, & SHALLOW CONCRETE MATT FOUNDATION CONSTRUCTION PER APPROVED PLANS; BUILDING TO BE FULLY SPRINKLERED. SEPARATE PERMIT REQ'D FOR ANY MECH., ELEC., PLUMB., & FIRESUPP WORK. ALL MEANS OF PEDESTRIAN PROTECTION TO BE IN PLACE PRIOR TO START OF WORK.",2019-03-22T13:13:51Z,COMPLETED,,T-P CONTRACTOR,3271 COMLY RD,,PHILA,PA,1915 -    ,2019-12-17T10:34:00Z,881078760,808 W NORRIS ST,,,19122-2000,377,5,MINH CONSULTING GROUP LLC,HANSEN,2697541.69475878,247002.71464056,
213,POINT (-75.17804 39.978802),443338,440823,942919,678680,399100,BP_NEWCNST,NEW CONSTRUCTION PERMIT,,ENTIRE,FOR THE ERECTION OF AN ATTACHED NEW CONSTRUCTION MULTI-FAMILY BUILDING WITH FOUR DWELLING UNITS. THE TOP TWO FLOOR UNITS WILL ALSO HAVE ACCESS TO A INDIVIDUAL PRIVATE ROOF DECK.BUILDING TO BE FULLY SPRINKLERED. SEPARATE PERMITS REQUIRED FOR M.E.P.S WORK.,2019-04-15T11:25:17Z,COMPLETED,DESIGN PROFESSIONAL,GRIT CONSTRUCTION LLC,266 KRAMS AVE,,PHILA,PA,19128-    ,2020-03-06T07:36:00Z,291359400,1514 N 26TH ST,,,19121-3718,138,5,1514 N 26TH ST LLC,HANSEN,2689183.9310371,245630.83856379,
214,POINT (-75.182022 39.975899),431944,433971,709281,764793,1453848,BP_NEWCNST,NEW CONSTRUCTION PERMIT,,ENTIRE,"FOR THE CONSTRUCTION OF A FOUR-STORY BUILDING TO CONTAIN FOUR (4) DWELLING UNITS, AS PER APPROVED PLANS.  SEE APP# 701432 FOR APPROVED PLANS.",2019-03-07T10:23:00Z,COMPLETED,DESIGN PROFESSIONAL,ELIOENAI CONSTRUCTION INC,1128 BRIGHTON ST,,PHILADELPHIA,PA,19111-    ,2019-09-27T10:13:00Z,292109410,1261 N NEWKIRK ST,,,19121-4526,137,5,VLMI LLC,HANSEN,2688099.33419219,244541.12736961,
215,POINT (-75.16411100000001 39.966032),435878,429538,927481,769392,,BP_NEWCNST,NEW CONSTRUCTION PERMIT,,FOUND,FOR CONSTRUCTION OF FOUNDATIONS (ONLY) FOR A SINGLE FAMILY STRUCTURE AS PER APPROVED PLANS AND GEOTECHNICAL REPORT.,2019-01-11T15:10:35Z,COMPLETED,,REED ST BUILDERS LLC,2501 WHARTON ST,,PHILADELPHIA,PA,19146-    ,2019-04-09T13:49:00Z,084089400,1600 NORTH ST,,,19130-    ,133,5,SPRING GARDEN COMMUNITY  DEVELOPMENT CORP,HANSEN,2693222.13829928,241094.71773266,
216,POINT (-75.13027099999999 39.979047),459106,452562,988128,769660,1262242,BP_NEWCNST,NEW CONSTRUCTION PERMIT,,FITOUT,"FOR FIT-OUT OF A GROUP B/S-2 OCCUPANCY (PUBLIC ATM'S W/STORAGE) WITHIN A SHELL SPACE ON THE GROUND FLOOR OF BUILDING 4 FACING FRANKFORD AVENUE UNDER PREVIOUSLY ISSUED NEW CONSTRUCTION PERMIT AP#747072, INCLUDING STRUCTURAL WORK TO SUPPORT INSTALLATION OF ATM'S, AS PER PLANS; SEPARATE PERMITS REQUIRED FOR ALL MEP/FSP WORK; BUILDING FULLY SPRINKLERED AS PER NFPA 13; NO SIGNS ON THIS PERMIT; SEE AP#988126 FOR USE REGISTRATION PERMIT.",2019-07-11T13:51:07Z,COMPLETED,AGENT CONTACT,R W DAKE & CO INC,378 CROOKED LN,,KING OF PRUSSIA,PA,19406-    ,2019-11-07T08:58:00Z,888310412,2012-18 FRANKFORD AVE,,4COMM,19125-1921,161,1,FRANKFORD STACKS LP,HANSEN,2702562.86418261,246113.32418799,
217,POINT (-75.188812 39.909436),454496,458035,953443,755046,1471790,BP_NEWCNST,NEW CONSTRUCTION PERMIT,,ENTIRE,"ERECTION OF A THREE STORY, SEMI DETACHED SINGLE FAMILY DWELLING, MAXIMUM 35 FT HIGHT, WITH FRONT ENTRANCE WAY COVER. FLAT ROOF, NO CELLAR WITH ACCESSORY INTERIOR ONE CAR GARAGE.",2019-03-04T15:17:59Z,COMPLETED,CONTRACTOR,JUDD BUILDERS & DEVELOPERS,1750 WALTON RD,,BLUE BELL,PA,19422-    ,2019-12-10T11:45:00Z,262424400,3343 PIETRO WAY,,,19145-5541,373,2,SIENA PLACE PLANNED COMMU,HANSEN,2686899.33142342,220284.83516585,
218,POINT (-75.121208 39.986448),455355,457958,940276,387197,1472512,BP_NEWCNST,NEW CONSTRUCTION PERMIT,,ENTIRE,"FOR THE ERECTION OF A THREE (3) STORY, ATTACHED STRUCTURE (SFD - TYPE A) WITH A ROOF DECK AND PILOT HOUSE AND ONE (1) INTERIOR PARKING SPACE.  STRUCTURE FOR USE AS SINGLE FAMILY DWELLING.  STRUCTURE TO BE FULLY SPRINKLERED PER NFPA 13D MINIMUM. SEPARATE PERMITS REQUIRED FOR PLUMBING, MECHANICAL, ELECTRICAL AND FIRE SUPPRESSION.  A COVERED WALKWAY OR SIDEWALK CLOSURE SHALL BE REQUIRED WITHIN 9 FEET OF BUILDING FACADE IN ACCORDANCE WITH SECTION 3306 OF THE IBC. SEPARATE BUILDING AND/OR STREETS DEPARTMENT PERMITS ARE REQUIRED.  SEE A/P NO 898232 FOR APPROVED PLANS.",2019-01-30T09:32:28Z,COMPLETED,,URBAN RENEWAL BUILDERS LLC,3010 RICHMOND STREET,,PHILADELPHIA,PA,19134-    ,2019-08-16T13:24:00Z,885816300,2035 E LEHIGH AVE,,,19125-1012,179,1,"L&M FISHTOWN RESIDENCES,L",HANSEN,2705021.26092371,248883.69332067,
219,POINT (-75.121208 39.986448),462237,469061,906937,387197,1472512,BP_NEWCNST,NEW CONSTRUCTION PERMIT,,ENTIRE,"FOR THE ERECTION OF A THREE (3) STORY, SEMIDETACHED STRUCTURE (SFD - TYPE A, LEFT CORNER) WITH A ROOF DECK AND PILOT HOUSE AND ONE (1) INTERIOR PARKING SPACE.  STRUCTURE FOR USE AS SINGLE FAMILY DWELLING.  STRUCTURE TO BE FULLY SPRINKLERED PER NFPA 13D MINIMUM. SEPARATE PERMITS REQUIRED FOR PLUMBING, MECHANICAL, ELECTRICAL AND FIRE SUPPRESSION. SEE A/P NO 898232 FOR APPROVED PLANS.",2019-01-30T08:20:14Z,COMPLETED,,URBAN RENEWAL BUILDERS LLC,3010 RICHMOND STREET,,PHILADELPHIA,PA,19134-    ,2019-10-18T10:25:00Z,885816300,2035 E LEHIGH AVE,,,19125-1012,179,1,"L&M FISHTOWN RESIDENCES,L",HANSEN,2705021.26092371,248883.69332067,
